City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
496,Eyl,SO,76.6,clear sky,7.9803,49.8164,EYL AQUE SYSTEM
497,Pasighat,IN,59.02,clear sky,28.0667,95.3333,Siang Guest House
498,Tanabe,JP,56.41,broken clouds,33.7333,135.3667,美吉屋旅館
499,Coquimbo,CL,61.23,few clouds,-29.9533,-71.3436,Hotel San Juan
501,Namibe,AO,68.81,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
502,Dzaoudzi,YT,76.89,few clouds,-12.7887,45.2699,Le Rocher
504,Julio De Castilhos,BR,65.19,clear sky,-29.2269,-53.6817,Bladmir Rigol da Costa ME
505,White Rock,CA,50.0,overcast clouds,49.0164,-122.8026,Ocean Promenade Hotel
506,Cidreira,BR,67.26,clear sky,-30.1811,-50.2056,Hotel Castelo
510,Trincomalee,LK,78.35,overcast clouds,8.5711,81.2335,Welcombe Hotel
512,Bentiu,SS,74.23,broken clouds,9.2333,29.8333,Mandela hôtel
514,Kintinku,TZ,75.4,broken clouds,-5.8833,35.2333,
515,Illescas,ES,58.6,overcast clouds,40.1221,-3.847,Hotel Carlos I
516,Gambela,ET,72.25,few clouds,8.25,34.5833,Solomon Debebe Hotel
517,Alta Floresta,BR,72.01,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
521,Kinablangan,PH,76.19,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
523,Yeppoon,AU,78.58,broken clouds,-23.1333,150.7333,Villa Mar Colina
524,Arcachon,FR,62.65,overcast clouds,44.5875,-1.0519,Hôtel All Suites Le Teich
528,Ibicarai,BR,71.38,light rain,-14.865,-39.5875,Pousada Patioba
532,Shingu,JP,58.17,broken clouds,33.7333,135.9833,Shingu UI Hotel
533,Kasongo-Lunda,CD,69.67,overcast clouds,-6.4667,16.8167,
534,Artyom,AZ,53.74,overcast clouds,40.4723,50.333,
537,Sinnamary,GF,78.84,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
541,Fontaine,FR,57.47,broken clouds,45.1984,5.6827,ibis Grenoble Gare
542,Kota,IN,63.32,clear sky,25.1833,75.8333,Hotel Surya Royal
545,Najran,SA,61.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
547,Tafo,GH,68.36,few clouds,6.7345,-1.6127,Afriyie Inn Hotel
548,Soto La Marina,MX,53.78,overcast clouds,23.7667,-98.2167,Hotel Chicago
550,Bahia Blanca,AR,66.29,few clouds,-38.7196,-62.2724,Hotel Argos
552,Carutapera,BR,78.19,broken clouds,-1.195,-46.02,Lidera
553,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
554,Foindu,SL,72.86,scattered clouds,7.4108,-11.5422,
555,Matara,LK,74.89,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
556,Saint Simons,US,62.64,clear sky,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
562,Upington,ZA,62.98,scattered clouds,-28.4478,21.2561,River Place Manor
