City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Waingapu,ID,-9.6567,120.2641,82.4,75,100,4.18,overcast clouds
255,Maneadero,MX,31.7167,-116.5667,67.1,19,0,8.16,clear sky
256,Saint George,US,37.1041,-113.5841,54.19,26,0,3.44,clear sky
257,Satellite Beach,US,28.1761,-80.5901,79.0,83,0,9.22,clear sky
258,Kultuk,RU,51.7208,103.6956,22.6,83,31,5.66,scattered clouds
259,Turka,UA,49.1541,23.0297,39.15,97,100,3.38,overcast clouds
260,Acarau,BR,-2.8856,-40.12,79.05,73,11,17.76,few clouds
261,Caravelas,BR,-17.7125,-39.2481,74.53,93,100,5.01,light rain
262,Hoquiam,US,46.9809,-123.8893,56.93,61,0,8.05,clear sky
263,Dumai,ID,1.6833,101.45,74.26,92,100,2.86,light rain
264,Gao,ML,16.6362,1.637,69.93,15,72,10.78,broken clouds
265,Araxa,BR,-19.5933,-46.9406,71.56,73,0,4.61,clear sky
266,Blagoyevo,RU,63.3667,47.9167,10.04,96,65,4.05,broken clouds
267,Singleton,AU,-32.5667,151.1833,65.91,54,1,1.54,clear sky
268,Pingliang,CN,35.5392,106.6861,37.81,92,6,5.39,clear sky
269,Avanigadda,IN,16.0215,80.9181,64.8,75,3,5.17,clear sky
270,Solnechnyy,RU,50.7214,136.6319,19.0,73,36,2.71,scattered clouds
271,Beloha,MG,-25.1667,45.05,67.95,88,18,4.0,few clouds
272,Manacapuru,BR,-3.2997,-60.6206,80.69,78,91,4.07,overcast clouds
273,Belmonte,BR,-15.8631,-38.8828,76.59,89,100,7.29,overcast clouds
274,Hambantota,LK,6.1241,81.1185,76.33,81,84,5.75,broken clouds
275,Lincoln,US,40.8,-96.667,30.29,49,0,6.91,clear sky
276,Santa Maria,BR,-29.6842,-53.8069,76.3,47,0,5.75,clear sky
277,Ketchikan,US,55.3422,-131.6461,45.07,93,0,11.5,clear sky
278,Gien,FR,47.6933,2.6309,55.44,76,95,25.1,light rain
279,Nuevo Casas Grandes,MX,30.4167,-107.9167,55.74,33,1,7.0,clear sky
280,Necochea,AR,-38.5473,-58.7368,61.9,92,63,6.31,broken clouds
281,Mehamn,NO,71.0357,27.8492,42.75,39,58,11.5,broken clouds
282,Teguise,ES,29.0605,-13.564,62.82,68,0,0.0,clear sky
283,Sayansk,RU,54.1088,102.1648,21.83,74,73,4.32,broken clouds
